Detected 2 OpenCL Platforms.
Detected 1 Devices In Platform.
Detected 1 Devices In Platform.
Selected device NVIDIA GeForce RTX 2070 in platform NVIDIA CUDA.
Maximum GPU memory allocation is 1993.328125 MiB.
Global GPU memory is 7973.312500 MiB.
There are 69132954 perfect powers < 2^104
0x000000000000121ce46e1c2010 + 0x00000000000049955fff524241 = 0x0000000000005bb2446d6e6251
0x0000000000001340e46af98100 + 0x000000000000a152b9e45491e1 = 0x000000000000b4939e4f4e12e1
0x00000000000014c71d97c96621 + 0x0000000058b8ba3cc1da37a920 = 0x0000000058b8cf03df72010f41
0x000000000000161740c2b10000 + 0x0000000000003ec5f782f00000 = 0x00000000000054dd3845a10000
0x00000000000017179149000000 + 0x000000000000b8bc8a48000000 = 0x000000000000cfd41b91000000
0x000000000000176838794f1720 + 0x000000000000176838794f1720 = 0x0000000000002ed070f29e2e40
0x0000000000001e3cde27c2c071 + 0x0000000000003eb376a52fe510 = 0x0000000000005cf054ccf2a581
0x00000000000020000000000000 + 0x00000000000020000000000000 = 0x00000000000040000000000000
0x000000000000233029474d2ed1 + 0x000000000000847913df40b040 = 0x000000000000a7a93d268ddf11
0x00000000000023834f40ef69c1 + 0x00000000056b15c4894723994f = 0x00000000056b3947d888130310
0x000000000000238a95e6192241 + 0x00000000056c557f6c35ca0b10 = 0x00000000056c790a021be32d51
0x0000000000002bfec5f73cba31 + 0x00000000000373a46730708a60 = 0x0000000000039fa32d27ad4491
0x0000000000002d53f6ac018100 + 0x000000000001a9207c833a1ae1 = 0x000000000001d674732f3b9be1
0x00000000000031b4bbb4ba391f + 0x0000000000004668d41f1dd6e1 = 0x000000000000781d8fd3d81000
0x00000000000038e858b6221610 + 0x000000000215823fab7f8ed600 = 0x000000000215bb280435b0ec10
0x00000000000040000000000000 + 0x00000000000040000000000000 = 0x00000000000080000000000000
0x0000000000004ac7c44003db91 + 0x00000000000e7ab4550970346f = 0x00000000000ec57c1949741000
0x0000000000004ee2a1e39c1741 + 0x00000001d63114ae87ff1a8de0 = 0x00000001d631639129e2b6a521
0x0000000000004ef67debeace10 + 0x0000000001eff47a73a3f68c00 = 0x0000000001f04370f18fe15a10
0x00000000000053cde2dcb97721 + 0x00000000000232d55bea005c20 = 0x00000000000286a33ec6b9d341
0x00000000000057998caba45b91 + 0x0000000000114dbcf8d1741000 = 0x000000000011a556857d186b91
0x000000000000684eeb9944c410 + 0x0000000000a6ac9b56987189d1 = 0x0000000000a714ea4231b64de1
0x0000000000006a5cfd4c13cc10 + 0x0000000000aa5f937bac760e61 = 0x0000000000aac9f078f889da71
0x0000000000006d3627c0000000 + 0x00000000000d398ed040000000 = 0x00000000000da6c4f800000000
0x00000000000080000000000000 + 0x00000000000080000000000000 = 0x00000000000100000000000000
0x00000000000082850502808000 + 0x000000000000c8dca99dc9c100 = 0x0000000000014b61aea04a4100
0x000000000000954a2840000000 + 0x000000000012a9450800000000 = 0x0000000000133e8f3040000000
0x000000000000a3339e97110000 + 0x00000000247517fd5f1c300000 = 0x000000002475bb30fdb3410000
0x000000000000a34a745e577e10 + 0x00000000247ad5294789d0b110 = 0x00000000247b7873bbe8282f20
0x000000000000ba2c33e769d910 + 0x000000000002cb336f548b2810 = 0x000000000003855fa33bf50120
0x000000000000c5c10000000000 + 0x00000000000b964f0000000000 = 0x00000000000c5c100000000000
0x000000000000cfd41b91000000 + 0x000000000000cfd41b91000000 = 0x0000000000019fa83722000000
0x000000000000fadab73cea4347 + 0x000000000003263e6c87bb30b9 = 0x000000000004211923c4a57400
0x00000000000100000000000000 + 0x00000000000100000000000000 = 0x00000000000200000000000000
